,name,link,Academics,Value,Diversity,Campus,Athletics,Party_Scene,Professors,Location,Dorms,Campus_Food,Student_Life,Safety,des,street,city,state,zip,Accept_Rate,SAT,ACT,Application_fee,Price_per_year,major_rank,Acceptance Rate,Total_Applicants,SAT Range,SAT Reading,SAT Math,Students Submitting SAT
30,University of California - Berkeley,https://www.niche.com/colleges/university-of-california---berkeley/,A+,A+,A+,B+,A+,A,A+,A+,C-,B+,A+,C-,"UC Berkeley is a highly rated public university located in Berkeley, California in the San Francisco Bay Area. It is a large institution with an enrollment of 29,351 undergraduate students. Admissions is competitive as the UC Berkeley acceptance rate is 17%. Popular majors include Economics, Cellular Biology, and Computer Science. Graduating 91% of students, UC Berkeley alumni go on to earn a starting salary of $46,000.",200 California Hall,Berkeley,CA,94720,17%,1260-1480,30-34,$70 ,"$18,178 ",Economics; Cellular Biology; Computer Science; Electrical Engineering; Business; Political Science and Government; Psychology; Biology; Environmental Science; Social Sciences; ,17%,"85,044",1260-1480,630-720,630-760,73%
31,Georgia Institute of Technology,https://www.niche.com/colleges/georgia-institute-of-technology/,A+,A+,A,B+,A,A-,A,A,C+,B-,A+,B-,"Georgia Tech is a highly rated public college located in Atlanta, Georgia. It is a big institution with an enrollment of 13,974 undergraduate students. Admissions is competitive as the Georgia Tech acceptance rate is 23%. Popular majors include Mechanical Engineering, Information Science, and Industrial Engineering. Graduating 85% of students, Georgia Tech alumni go on to earn a starting salary of $61,800.",225 North Ave,Atlanta,GA,30332,23%,1090-1520,30-34,$75 ,"$15,873 ",Mechanical Engineering; Information Science; Industrial Engineering; Business; Bioengineering and Biomedical Engineering; Electrical Engineering; Chemical Engineering; Aerospace Engineering; Civil Engineering; Computer Hardware Engineering; ,23%,"31,497",1090-1520,370-730,720-790,49%
32,Wellesley College,https://www.niche.com/colleges/wellesley-college/,A+,A+,A,A-,NG,C,A+,B-,A-,B+,A-,A,"Wellesley is a highly rated private college located in Wellesley, Massachusetts in the Boston Area. It is a small institution with an enrollment of 2,374 undergraduate students. Admissions is competitive as the Wellesley acceptance rate is 28%. Popular majors include Economics, Biology, and Research and Experimental Psychology. Graduating 91% of students, Wellesley alumni go on to earn a starting salary of $39,700.",106 Central St.,Wellesley,MA,2481,28%,1360-1530,30-33,$0 ,"$20,189 ",Economics; Biology; Research and Experimental Psychology; Information Science; Neuroscience and Neurobiology; Political Science and Government; English; Women's Studies; Mathematics; Liberal Arts and Humanities; ,28%,"5,666",1360-1530,660-750,650-750,66%
33,Haverford College,https://www.niche.com/colleges/haverford-college/,A+,A+,A,B,B,B+,A+,A-,B,C+,A,B,"Haverford is a highly rated private college located in Lower Merion Township, Pennsylvania in the Philadelphia Area. It is a small institution with an enrollment of 1,294 undergraduate students. Admissions is competitive as the Haverford acceptance rate is 20%. Popular majors include Biology, Economics, and English. Graduating 93% of students, Haverford alumni go on to earn a starting salary of $35,400.",370 Lancaster Ave,Haverford,PA,19041,20%,1390-1530,31-34,$65 ,"$23,582 ",Biology; Economics; English; Political Science and Government; Psychology; Mathematics; Chemistry; History; Information Science; Physics; ,20%,"4,408",1390-1530,700-760,690-770,59%
34,Claremont McKenna College,https://www.niche.com/colleges/claremont-mckenna-college/,A+,A+,A,B-,B-,B+,A+,B,B+,A,A-,C+,"Claremont McKenna is a highly rated private college located in Claremont, California in the Los Angeles Area. It is a small institution with an enrollment of 1,337 undergraduate students. Admissions is extremely competitive as the Claremont McKenna acceptance rate is 10%. Popular majors include Economics, Political Science and Government, and Liberal Arts and Humanities. Graduating 90% of students, Claremont McKenna alumni go on to earn a starting salary of $50,300.",888 Columbia Ave,Claremont,CA,91711,10%,1340-1510,30-34,$70 ,"$28,712 ",Economics; Political Science and Government; Liberal Arts and Humanities; International Relations; Psychology; Accounting; History; Philosophy; Biology; Mathematics; ,10%,"6,349",1340-1510,660-740,680-770,45%
35,Williams College,https://www.niche.com/colleges/williams-college/,A+,A+,A,B+,A-,C+,A+,C-,A-,B+,A-,B,"Williams is a highly rated private college located in Williamstown, Massachusetts. It is a small institution with an enrollment of 2,047 undergraduate students. Admissions is extremely competitive as the Williams acceptance rate is 15%. Popular majors include Economics, Mathematics, and English. Graduating 94% of students, Williams alumni go on to earn a starting salary of $39,800.",880 Main St,Williamstown,MA,1267,15%,1400-1570,31-35,$65 ,"$20,380 ",Economics; Mathematics; English; Psychology; Biology; Political Science and Government; History; Chemistry; Arts; Statistics; ,15%,"8,593",1400-1570,710-780,690-790,59%
36,University of North Carolina at Chapel Hill,https://www.niche.com/colleges/university-of-north-carolina-at-chapel-hill/,A+,A+,A,A,A+,A+,A+,A-,B,A-,A+,B-,"UNC is a highly rated public university located in Chapel Hill, North Carolina in the Raleigh Area. It is a large institution with an enrollment of 18,303 undergraduate students. Admissions is competitive as the UNC acceptance rate is 24%. Popular majors include Communications, Biology, and Psychology. Graduating 91% of students, UNC alumni go on to earn a starting salary of $39,700.",103 South Bldg Cb 9100,Chapel Hill,NC,27599,24%,1270-1460,28-33,$85 ,"$11,100 ",Communications; Biology; Psychology; Economics; Physical Education Teaching and Coaching; Business; Political Science and Government; Global Studies; Computer Science; Chemistry; ,24%,"39,650",1270-1460,640-720,630-740,39%
37,Northeastern University,https://www.niche.com/colleges/northeastern-university/,A+,A+,A+,A,A-,A-,A+,A+,B,A-,A+,B-,"Northeastern is a highly rated private university located in Boston, Massachusetts. It is a large institution with an enrollment of 13,786 undergraduate students. Admissions is competitive as the Northeastern acceptance rate is 27%. Popular majors include Business, Economics, and Mechanical Engineering. Graduating 87% of students, Northeastern alumni go on to earn a starting salary of $51,800.",360 Huntington Avenue,Boston,MA,2115,27%,1370-1520,32-34,$75 ,"$30,784 ",Business; Economics; Mechanical Engineering; Communications; Information Science; Pharmacy and Pharmaceutical Sciences; Research and Experimental Psychology; Biology; Political Science and Government; Neuroscience and Neurobiology; ,27%,"54,209",1370-1520,680-750,690-770,33%
38,Virginia Tech,https://www.niche.com/colleges/virginia-tech/,A,A+,A-,A+,A+,A,A+,A-,B+,A+,A+,B+,"Virginia Tech is a highly rated public college located in Blacksburg, Virginia. It is a big institution with an enrollment of 26,603 undergraduate students. Admissions is somewhat competitive as the Virginia Tech acceptance rate is 70%. Popular majors include Mechanical Engineering, Management Sciences and Information Systems, and Finance. Graduating 84% of students, Virginia Tech alumni go on to earn a starting salary of $46,600.","210 Burruss Hall, 800 Drillfield Dr.",Blacksburg,VA,24061,70%,1180-1360,25-30,$60 ,"$18,700 ","Mechanical Engineering; Management Sciences and Information Systems; Finance; Foods, Nutrition, and Wellness Studies; Biology; Information Science; Civil Engineering; Psychology; Communications; Accounting; ",70%,"27,423",1180-1360,590-670,590-690,83%
39,University of Texas - Austin,https://www.niche.com/colleges/university-of-texas---austin/,A+,A+,A,A,A+,A+,A,A,B-,A,A+,B-,"UT Austin is a highly rated public university located in Austin, Texas. It is a large institution with an enrollment of 37,740 undergraduate students. Admissions is fairly competitive as the UT Austin acceptance rate is 36%. Popular majors include Business, Biology, and Information Science. Graduating 83% of students, UT Austin alumni go on to earn a starting salary of $43,100.",110 Inner Campus Drive,Austin,TX,78712,36%,1220-1460,26-33,$75 ,"$14,356 ",Business; Biology; Information Science; Economics; Health Service Preparatory Studies; Liberal Arts and Humanities; Finance; Psychology; Mathematics; Political Science and Government; ,36%,"51,033",1220-1460,620-720,600-740,73%
40,Lehigh University,https://www.niche.com/colleges/lehigh-university/,A+,A+,A,B,B+,A+,A+,C,C+,B-,A,B-,"Lehigh is a highly rated private university located in Bethlehem, Pennsylvania in the Allentown Area. It is a mid-size institution with an enrollment of 5,013 undergraduate students. Admissions is competitive as the Lehigh acceptance rate is 25%. Popular majors include Finance, Mechanical Engineering, and Computer Science. Graduating 86% of students, Lehigh alumni go on to earn a starting salary of $64,100.",27 Memorial Drive West,Bethlehem,PA,18015,25%,1270-1430,29-32,$70 ,"$26,933 ",Finance; Mechanical Engineering; Computer Science; Accounting; Marketing; Chemical Engineering; Industrial Engineering; Bioengineering and Biomedical Engineering; Managerial Economics; Biology; ,25%,"13,871",1270-1430,620-700,650-730,51%
41,Boston College,https://www.niche.com/colleges/boston-college/,A+,A+,A-,A-,A+,A,A,A,C,B+,A+,B+,"Boston College is a highly rated private, Catholic college located in Newton, Massachusetts in the Boston Area. It is a mid-size institution with an enrollment of 9,681 undergraduate students. Admissions is fairly competitive as the Boston College acceptance rate is 32%. Popular majors include Economics, Finance, and Psychology. Graduating 92% of students, Boston College alumni go on to earn a starting salary of $55,500.",140 Commonwealth Avenue,Chestnut Hill,MA,2467,32%,1320-1490,31-33,$75 ,"$27,299 ",Economics; Finance; Psychology; Communications; Biology; Political Science and Government; Marketing; English; Accounting; Nursing; ,32%,"28,454",1320-1490,660-760,660-730,60%
42,College of William & Mary,https://www.niche.com/colleges/college-of-william--and--mary/,A+,A+,A,B-,B+,B-,A+,B-,C+,C,A,B,"William & Mary is a highly rated public college located in Williamsburg, Virginia in the Norfolk Area. It is a mid-size institution with an enrollment of 6,199 undergraduate students. Admissions is fairly competitive as the William & Mary acceptance rate is 36%. Popular majors include Business, Political Science and Government, and Liberal Arts and Humanities. Graduating 92% of students, William & Mary alumni go on to earn a starting salary of $42,200.",P.O. Box 8795,Williamsburg,VA,23187,36%,1300-1480,29-33,$75 ,"$17,415 ",Business; Political Science and Government; Liberal Arts and Humanities; Psychology; Physical Education Teaching and Coaching; Biology; Economics; History; English; International Relations; ,36%,"14,921",1300-1480,660-740,640-740,73%
43,Hamilton College,https://www.niche.com/colleges/hamilton-college/,A+,A+,A,B+,B,B+,A+,C+,A,B,A,B,"Hamilton is a highly rated private college located in Kirkland, New York. It is a small institution with an enrollment of 1,886 undergraduate students. Admissions is competitive as the Hamilton acceptance rate is 24%. Popular majors include Economics, Mathematics, and Political Science and Government. Graduating 94% of students, Hamilton alumni go on to earn a starting salary of $45,100.",198 College Hill Road,Clinton,NY,13323,24%,1360-1510,31-33,$60 ,"$22,139 ",Economics; Mathematics; Political Science and Government; Research and Experimental Psychology; Foreign Languages and Literatures; International Relations; English; Neuroscience and Neurobiology; Information Science; Public Policy Analysis; ,24%,"5,678",1360-1510,680-750,680-760,36%
44,Davidson College,https://www.niche.com/colleges/davidson-college/,A+,A+,A,B+,A-,B,A+,B,A,B,A,B-,"Davidson is a highly rated private, Christian college located in Davidson, North Carolina in the Charlotte Area. It is a small institution with an enrollment of 1,810 undergraduate students. Admissions is competitive as the Davidson acceptance rate is 20%. Popular majors include Political Science and Government, Biology, and Economics. Graduating 91% of students, Davidson alumni go on to earn a starting salary of $41,700.",102 N. Main Street,Davidson,NC,28035,20%,1310-1470,30-33,$50 ,"$28,339 ",Political Science and Government; Biology; Economics; Psychology; English; Mathematics; Liberal Arts and Humanities; History; Chemistry; Physics; ,20%,"5,673",1310-1470,660-740,650-730,53%
45,Colgate University,https://www.niche.com/colleges/colgate-university/,A+,A+,A,B,A-,A,A,C+,B-,B-,A,B+,"Colgate is a highly rated private university located in Hamilton, New York. It is a small institution with an enrollment of 2,854 undergraduate students. Admissions is competitive as the Colgate acceptance rate is 28%. Popular majors include Economics, Political Science and Government, and History. Graduating 91% of students, Colgate alumni go on to earn a starting salary of $45,100.",13 Oak Drive,Hamilton,NY,13346,28%,1310-1500,31-33,$60 ,"$22,182 ",Economics; Political Science and Government; History; Psychology; English; International Relations; Neuroscience and Neurobiology; Environmental Science; Biology; Biochemistry and Molecular Biology; ,28%,"8,542",1310-1500,660-730,650-770,36%
46,New York University,https://www.niche.com/colleges/new-york-university/,A+,A,A+,A-,C+,A+,A+,A+,B,A,A+,B+,"NYU is a highly rated private university located in Manhattan, New York in the New York City Area. It is a large institution with an enrollment of 25,347 undergraduate students. Admissions is competitive as the NYU acceptance rate is 28%. Popular majors include Liberal Arts and Humanities, Business, and Economics. Graduating 84% of students, NYU alumni go on to earn a starting salary of $46,800.",70 Washington Sq South,New York,NY,10012,28%,1290-1490,29-33,$80 ,"$36,256 ",Liberal Arts and Humanities; Business; Economics; Nursing; Psychology; Cinematography and Video Production; Drama and Theatre Production; Digital Communication and Media/Multimedia; Information Science; Political Science and Government; ,28%,"64,007",1290-1490,650-730,640-760,59%
47,Wesleyan University,https://www.niche.com/colleges/wesleyan-university/,A+,A+,A,A-,B,B,A,C+,A-,A+,A,C+,"Wesleyan is a highly rated private university located in Middletown, Connecticut in the Hartford Area. It is a small institution with an enrollment of 2,896 undergraduate students. Admissions is competitive as the Wesleyan acceptance rate is 16%. Popular majors include Economics, English, and Political Science and Government. Graduating 90% of students, Wesleyan alumni go on to earn a starting salary of $37,700.",237 High St,Middletown,CT,6459,16%,1300-1480,29-33,$55 ,"$24,251 ",Economics; English; Political Science and Government; Psychology; Biology; Physiological Psychology; Mathematics; North American Studies; Sociology; Film and Video Studies; ,16%,"12,360",1300-1480,640-740,660-740,80%
48,University of Wisconsin,https://www.niche.com/colleges/university-of-wisconsin/,A+,A+,A-,A+,A+,A+,A,A,B,A+,A+,B-,"Wisconsin is a highly rated public university located in Madison, Wisconsin. It is a large institution with an enrollment of 28,977 undergraduate students. Admissions is fairly competitive as the Wisconsin acceptance rate is 54%. Popular majors include Biology, Economics, and Information Science. Graduating 87% of students, Wisconsin alumni go on to earn a starting salary of $42,300.",500 Lincoln Dr,Madison,WI,53706,54%,1280-1450,27-31,$60 ,"$15,910 ",Biology; Economics; Information Science; Journalism; Psychology; Finance; Political Science and Government; Communications; Marketing; Mechanical Engineering; ,54%,"35,596",1280-1450,620-690,660-760,17%
49,Harvey Mudd College,https://www.niche.com/colleges/harvey-mudd-college/,A+,A+,A,C-,NG,B,A,B-,B-,B,B-,B,"Harvey Mudd is a highly rated private college located in Claremont, California in the Los Angeles Area. It is a small institution with an enrollment of 844 undergraduate students. Admissions is competitive as the Harvey Mudd acceptance rate is 15%. Popular majors include Engineering, Computer Science, and Physics. Graduating 96% of students, Harvey Mudd alumni go on to earn a starting salary of $65,200.",301 Platt Blvd.,Claremont,CA,91711,15%,1470-1570,33-35,$70 ,"$38,135 ",Engineering; Computer Science; Physics; Computational and Applied Mathematics; Mathematics; Chemistry; Biochemistry and Molecular Biology; Liberal Arts and Humanities; Bioinformatics; Economics; ,15%,"4,078",1470-1570,720-770,750-800,66%
50,University of Florida,https://www.niche.com/colleges/university-of-florida/,A+,A+,A,A,A+,A+,A+,B+,B-,B+,A+,B-,"Florida is a highly rated public university located in Gainesville, Florida. It is a large institution with an enrollment of 31,384 undergraduate students. Admissions is fairly competitive as the Florida acceptance rate is 42%. Popular majors include Biology, Psychology, and Liberal Arts and Humanities. Graduating 88% of students, Florida alumni go on to earn a starting salary of $40,400.",355 Tigert Hall,Gainesville,FL,32611,42%,1240-1400,28-32,$30 ,"$15,283 ",Biology; Psychology; Liberal Arts and Humanities; Finance; Political Science and Government; Mechanical Engineering; Business; Economics; Radio and Television; Health Service Preparatory Studies; ,42%,"32,747",1240-1400,620-710,620-690,79%
51,University of Rochester,https://www.niche.com/colleges/university-of-rochester/,A+,A+,A+,B,B-,B,A+,B-,B-,B-,A-,C+,"Rochester is a highly rated private university located in Rochester, New York. It is a mid-size institution with an enrollment of 6,250 undergraduate students. Admissions is fairly competitive as the Rochester acceptance rate is 34%. Popular majors include Nursing, Biology, and Economics. Graduating 85% of students, Rochester alumni go on to earn a starting salary of $42,200.",Joseph C Wilson Blvd.,Rochester,NY,14627,34%,1300-1490,29-33,$50 ,"$37,064 ",Nursing; Biology; Economics; Psychology; Music Performance; Computer Science; Mathematics; Business; Bioengineering and Biomedical Engineering; Mechanical Engineering; ,34%,"19,058",1300-1490,640-720,660-770,64%
52,University of Illinois at Urbana-Champaign,https://www.niche.com/colleges/university-of-illinois-at-urbana-champaign/,A+,A+,A,A,A,A+,A+,B+,B,A,A+,B-,"Illinois is a highly rated public university located in Champaign, Illinois. It is a large institution with an enrollment of 32,613 undergraduate students. Admissions is somewhat competitive as the Illinois acceptance rate is 62%. Popular majors include Research and Experimental Psychology, Economics, and Accounting. Graduating 85% of students, Illinois alumni go on to earn a starting salary of $44,200.",601 E John Street,Champaign,IL,61820,62%,1340-1500,26-32,$50 ,"$16,638 ",Research and Experimental Psychology; Economics; Accounting; Communications; Cellular Biology; Computer Hardware Engineering; Finance; Electrical Engineering; Computer Science; Mechanical Engineering; ,62%,"38,965",1340-1500,630-710,710-790,22%
53,Bucknell University,https://www.niche.com/colleges/bucknell-university/,A+,A+,A-,A,A-,B+,A+,B-,A-,B+,A,C+,"Bucknell is a highly rated private university located in East Buffalo Township, Pennsylvania. It is a small institution with an enrollment of 3,585 undergraduate students. Admissions is fairly competitive as the Bucknell acceptance rate is 31%. Popular majors include Economics, Psychology, and Political Science and Government. Graduating 90% of students, Bucknell alumni go on to earn a starting salary of $56,400.",One Dent Drive,Lewisburg,PA,17837,31%,1250-1420,28-31,$40 ,"$37,817 ",Economics; Psychology; Political Science and Government; Accounting; Biology; Mechanical Engineering; Marketing; Chemical Engineering; Civil Engineering; International Relations; ,31%,"10,253",1250-1420,620-700,630-720,66%
54,University of Georgia,https://www.niche.com/colleges/university-of-georgia/,A,A,A-,A+,A+,A+,A+,A,B,A+,A+,B-,"Georgia is a highly rated public university located in Athens, Georgia. It is a large institution with an enrollment of 27,142 undergraduate students. Admissions is fairly competitive as the Georgia acceptance rate is 54%. Popular majors include Finance, Psychology, and Biology. Graduating 85% of students, Georgia alumni go on to earn a starting salary of $37,700.",Administration Building,Athens,GA,30602,54%,1200-1370,26-31,$70 ,"$15,934 ",Finance; Psychology; Biology; Marketing; Business; Digital Communication and Media/Multimedia; International Relations; Management Sciences and Information Systems; Insurance; Political Science and Government; ,54%,"24,165",1200-1370,610-690,590-680,68%
