,name,link,Acceptance Rate,Total_Applicants,SAT Range,SAT Reading,SAT Math,Students Submitting SAT,ACT Range,ACT English,ACT Math,ACT Writing,Students Submitting ACT
102,Michigan State University,https://www.niche.com/colleges/michigan-state-university/admissions,72%,"36,143",1100-1320,550-650,550-670,60%,23-28,22-29,23-28,9-Aug,57%
103,University of Tulsa,https://www.niche.com/colleges/university-of-tulsa/admissions,39%,"7,869",1150-1440,590-720,560-720,20%,25-32,25-34,24-30, ,80%
104,University of Maryland - College Park,https://www.niche.com/colleges/university-of-maryland---college-park/admissions,45%,"33,922",1280-1470,630-720,650-750,62%,29-33,29-35,28-33, ,38%
105,Babson College,https://www.niche.com/colleges/babson-college/admissions,24%,"7,122",1230-1410,610-680,620-730,63%,27-32,27-33,27-33, ,51%
106,Wheaton College - Illinois,https://www.niche.com/colleges/wheaton-college---illinois/admissions,85%,"1,693",1230-1410,630-720,600-690,47%,27-32,27-34,25-30,9-Aug,68%
107,Trinity University - Texas,https://www.niche.com/colleges/trinity-university---texas/admissions,38%,"7,663",1230-1410,620-710,610-700,45%,27-32,27-34,26-30, ,54%
108,University of Pittsburgh,https://www.niche.com/colleges/university-of-pittsburgh/admissions,60%,"27,679",1240-1420,620-700,620-720,78%,27-32,26-33,26-31,9-Aug,50%
109,University of California - Davis,https://www.niche.com/colleges/university-of-california---davis/admissions,43%,"70,952",1130-1360,560-660,570-700,81%,25-32,23-31,25-31, ,56%
110,Yeshiva University,https://www.niche.com/colleges/yeshiva-university/admissions,63%,"1,861",1160-1420,600-710,560-710,53%,23-29,23-31,22-29, ,44%
111,Gettysburg College,https://www.niche.com/colleges/gettysburg-college/admissions,46%,"6,384",1200-1370,600-690,610-670,78%,26-30, , , ,9%
112,Brandeis University,https://www.niche.com/colleges/brandeis-university/admissions,34%,"11,721",1280-1470,630-710,650-760,44%,29-33,29-34,28-34,9-Aug,44%
113,George Washington University,https://www.niche.com/colleges/george-washington-university/admissions,41%,"26,987",1280-1440,640-720,640-720,46%,29-32,29-34,27-31,10-Aug,42%
114,Skidmore College,https://www.niche.com/colleges/skidmore-college/admissions,25%,"10,053",1200-1400,610-700,600-700,42%,27-31,27-34,26-30,9-Aug,37%
115,St. Olaf College,https://www.niche.com/colleges/st-olaf-college/admissions,43%,"5,949",1150-1400,580-690,570-710,27%,25-31,25-34,25-30, ,80%
116,Michigan Technological University,https://www.niche.com/colleges/michigan-technological-university/admissions,74%,"5,469",1160-1340,570-660,590-680,69%,25-30,23-30,25-30, ,57%
117,University of California - Irvine,https://www.niche.com/colleges/university-of-california---irvine/admissions,37%,"85,092",1170-1350,580-650,590-700,86%,25-32,23-30,25-31, ,50%
118,Indiana University - Bloomington,https://www.niche.com/colleges/indiana-university---bloomington/admissions,76%,"41,939",1140-1350,570-670,570-680,67%,25-31,24-32,24-30,9-Aug,67%
119,Occidental College,https://www.niche.com/colleges/occidental-college/admissions,42%,"6,775",1280-1440,650-720,630-720,55%,27-32,29-34,26-31,9-Aug,56%
120,Florida State University,https://www.niche.com/colleges/florida-state-university/admissions,49%,"35,334",1190-1330,600-670,590-660,38%,26-30,25-30,24-28, ,63%
121,University of California - San Diego,https://www.niche.com/colleges/university-of-california---san-diego/admissions,34%,"88,446",1210-1410,600-680,610-730,84%,27-33,25-33,27-33, ,52%
122,University of Iowa,https://www.niche.com/colleges/university-of-iowa/admissions,86%,"27,734",1140-1370,570-680,570-690,9%,23-28,22-29,22-28, ,95%
123,Loyola Marymount University,https://www.niche.com/colleges/loyola-marymount-university/admissions,52%,"15,381",1180-1360,600-680,580-680,57%,26-31,27-33,25-29,9-Aug,56%
124,California Polytechnic State University - San Luis Obispo,https://www.niche.com/colleges/california-polytechnic-state-university---san-luis-obispo/admissions,35%,"48,588",1200-1380,600-680,600-700,70%,26-31,25-33,26-32, ,68%
125,Union College - New York,https://www.niche.com/colleges/union-college---new-york/admissions,37%,"6,676",1220-1400, , ,45%, , , , ,22%
126,University of Delaware,https://www.niche.com/colleges/university-of-delaware/admissions,63%,"27,803",1130-1330,570-660,560-670,70%,25-29,24-31,24-29,9-Aug,35%
127,Iowa State University,https://www.niche.com/colleges/iowa-state-university/admissions,89%,"19,262",1160-1410,600-700,560-710,9%,22-28,22-28,21-28, ,90%
128,Lawrence University,https://www.niche.com/colleges/lawrence-university/admissions,61%,"3,612",1220-1460,620-730,600-730,28%,25-32,26-34,25-30, ,57%
129,American University,https://www.niche.com/colleges/american-university/admissions,29%,"18,699",1180-1350,610-690,570-660,49%,26-30,26-33,24-28,10-Aug,39%
130,Texas Christian University,https://www.niche.com/colleges/texas-christian-university/admissions,41%,"19,740",1130-1330,570-660,560-670,32%,25-30,26-33,25-29, ,68%
131,Syracuse University,https://www.niche.com/colleges/syracuse-university/admissions,47%,"33,099",1160-1350,580-670,580-680,66%,25-30,25-31,24-29,9-Aug,45%
132,Rutgers University - New Brunswick,https://www.niche.com/colleges/rutgers-university---new-brunswick/admissions,58%,"38,384",1190-1400,590-680,600-720,81%, , , , ,0%
133,Franklin & Marshall College,https://www.niche.com/colleges/franklin--and--marshall-college/admissions,34%,"6,720",1200-1420,570-680,630-740, ,28-31, , , , 
134,University of Massachusetts - Amherst,https://www.niche.com/colleges/university-of-massachusetts---amherst/admissions,58%,"42,043",1180-1360,590-670,590-690,85%,26-31, , , ,27%
135,Wabash College,https://www.niche.com/colleges/wabash-college/admissions,63%,"1,304",1070-1280,530-630,540-650,77%,23-28,21-28,23-28,8-Jul,60%
136,Denison University,https://www.niche.com/colleges/denison-university/admissions,37%,"7,540",1200-1380,600-690,600-690,35%,28-31,28-34,26-30, ,41%
137,Gustavus Adolphus College,https://www.niche.com/colleges/gustavus-adolphus-college/admissions,68%,"4,834",1080-1340,570-700,570-670,6%,26-30,24-30,25-29, ,70%
138,Bentley University,https://www.niche.com/colleges/bentley-university/admissions,44%,"8,867",1210-1380,590-670,620-710,66%,27-31,26-32,27-31, ,39%
139,Auburn University,https://www.niche.com/colleges/auburn-university/admissions,84%,"18,072",1130-1310,570-650,560-660,12%,24-30,24-32,23-28,8-Jul,87%
140,Oberlin College,https://www.niche.com/colleges/oberlin-college/admissions,34%,"7,762",1280-1450,650-720,630-730,54%,28-33,29-34,26-32, ,56%
141,James Madison University,https://www.niche.com/colleges/james-madison-university/admissions,75%,"21,100",1100-1260,560-640,540-620,87%,23-28, , , ,35%
142,Pepperdine University,https://www.niche.com/colleges/pepperdine-university/admissions,40%,"11,704",1200-1390,600-690,600-700,60%,26-31,26-34,25-30,9-Aug,57%
143,Sewanee - The University of the South,https://www.niche.com/colleges/sewanee---the-university-of-the-south/admissions,47%,"4,218",1140-1320,590-690,580-660,50%,26-30,26-33,25-29,8-Jul,51%
144,Saint Louis University,https://www.niche.com/colleges/saint-louis-university/admissions,64%,"13,431",1170-1390,590-690,580-700,13%,25-31,25-33,24-29, ,90%
145,University of Portland,https://www.niche.com/colleges/university-of-portland/admissions,70%,"11,137",1140-1320,580-660,560-660,70%,23-29,23-28,23-30, ,54%
146,University of Oklahoma,https://www.niche.com/colleges/university-of-oklahoma/admissions,74%,"15,579",1150-1380,580-690,570-690,28%,23-29,23-30,22-28, ,88%
147,University of Denver,https://www.niche.com/colleges/university-of-denver/admissions,58%,"19,904",1160-1350,590-680,570-670,33%,25-30,24-31,24-28,9-Aug,76%
148,University of San Diego,https://www.niche.com/colleges/university-of-san-diego/admissions,50%,"14,739",1180-1350,590-670,590-680,49%,26-30,25-33,25-29,9-Aug,65%
149,Oklahoma State University,https://www.niche.com/colleges/oklahoma-state-university/admissions,74%,"13,635",1070-1260,540-630,530-630,21%,22-28,21-27,20-27, ,91%
150,Washington State University,https://www.niche.com/colleges/washington-state-university/admissions,73%,"22,565",1020-1220,510-610,510-610,78%,20-26,19-25,19-26,8-Jul,29%
151,University of Alabama - Birmingham,https://www.niche.com/colleges/university-of-alabama---birmingham/admissions,92%,"7,555",990-1370,440-630,550-740,1%,21-28,22-31,21-26, ,94%
152,University of South Florida,https://www.niche.com/colleges/university-of-south-florida/admissions,45%,"31,944",1150-1310,580-650,570-660,59%,24-29,23-30,23-27,8-Jul,41%
153,University of Dayton,https://www.niche.com/colleges/university-of-dayton/admissions,72%,"15,942",1100-1310,550-650,550-660,28%,24-29,23-30,24-28, ,85%
154,Furman University,https://www.niche.com/colleges/furman-university/admissions,61%,"5,002",1190-1380,600-690,590-690,41%,26-31,26-34,25-29, ,53%
155,Miami University,https://www.niche.com/colleges/miami-university/admissions,68%,"30,255",1190-1380,580-670,610-710,23%,26-31,25-32,25-30, ,85%
156,The University of Alabama,https://www.niche.com/colleges/the-university-of-alabama/admissions,53%,"38,129",1050-1280,530-640,520-640,19%,23-32,23-33,21-29,8-Jul,81%
157,Baylor University,https://www.niche.com/colleges/baylor-university/admissions,39%,"37,083",1190-1360,600-680,590-680,36%,26-31,25-32,25-29,8-Jul,64%
158,University of Kansas,https://www.niche.com/colleges/university-of-kansas/admissions,93%,"14,538", , , ,0%,23-28,22-29,22-28, ,97%
159,Rhode Island School of Design,https://www.niche.com/colleges/rhode-island-school-of-design/admissions,32%,"3,420",1130-1370,570-660,560-710,68%,25-31,24-32,24-30, ,37%
160,Arizona State University,https://www.niche.com/colleges/arizona-state-university/admissions,84%,"24,127",1120-1350,560-670,560-680,54%,22-29,22-29,23-28, ,61%
161,Kansas State University,https://www.niche.com/colleges/kansas-state-university/admissions,94%,"8,517", , , , , , , , , 
162,Mississippi State University,https://www.niche.com/colleges/mississippi-state-university/admissions,62%,"13,973",960-1260,480-620,480-640,0%,21-28,21-30,20-27, ,87%
163,University of Utah,https://www.niche.com/colleges/university-of-utah/admissions,66%,"22,400",1110-1350,560-670,550-680,18%,22-29,21-29,21-28,9-Jul,86%
164,University of Colorado - Boulder,https://www.niche.com/colleges/university-of-colorado---boulder/admissions,80%,"36,148",1150-1340,580-660,570-680,29%,25-30,24-31,24-29, ,81%
165,SUNY College of Environmental Science & Forestry,https://www.niche.com/colleges/suny-college-of-environmental-science--and--forestry/admissions,52%,"1,818",1150-1300,580-650,570-650,77%,24-28,22-28,23-27, ,50%
166,Temple University,https://www.niche.com/colleges/temple-university/admissions,57%,"35,880",1010-1230,500-610,510-620,90%,22-28,21-29,21-28,8-Jul,20%
167,University of Missouri,https://www.niche.com/colleges/university-of-missouri/admissions,78%,"16,367",1120-1350,570-680,550-670,7%,23-29,23-30,22-27, ,96%
168,Missouri University of Science & Technology,https://www.niche.com/colleges/missouri-university-of-science--and--technology/admissions,84%,"3,876",1100-1340,520-640,580-700,2%,25-31,24-31,26-30,8-Jul,97%
169,"Binghamton University, SUNY",https://www.niche.com/colleges/binghamton-university-suny/admissions,40%,"33,467",1290-1430,640-710,650-720,97%,28-31, , , ,50%
170,University of Arkansas,https://www.niche.com/colleges/university-of-arkansas/admissions,66%,"21,715",1110-1280,560-640,550-640,24%,23-29,23-30,22-28, ,93%
171,The College of New Jersey,https://www.niche.com/colleges/the-college-of-new-jersey/admissions,48%,"12,898",1170-1330,590-660,580-670,83%,25-30, ,25-29, ,0%
172,University of South Carolina,https://www.niche.com/colleges/university-of-south-carolina/admissions,72%,"26,015",1170-1330,590-660,580-670,47%,25-30,24-31,24-28, ,53%
